epoch,train_loss,val_loss,train_accuracy,val_accuracy
1,0.2142303563197385,0.0633917893110602,94.90983129726585,98.83720930232558
2,0.08639470216520648,0.10379956176297532,98.34205933682374,98.25581395348837
3,0.09369544178695867,0.08728380620272623,98.19662594531704,98.13953488372093
4,0.0824915226872286,0.069268096100401,98.42931937172774,98.83720930232558
5,0.08250773283092443,0.6789577305316925,98.34205933682374,88.95348837209302
6,0.08389991622728606,0.0953933881526744,98.3129726585224,97.79069767441861
7,0.06226975590430407,0.06827304933082175,98.60383944153578,98.6046511627907
8,0.07618438709458267,0.08034903421584103,98.34205933682374,98.6046511627907
9,0.05473506649475355,0.06032184169938167,98.77835951134381,98.6046511627907
10,0.04519925377691699,0.07357671427652585,98.95287958115183,98.95348837209302
11,0.0345756091359093,0.10734698167545031,99.06922629435718,98.6046511627907
12,0.045430307182228985,0.07254426548240224,98.69109947643979,98.6046511627907
13,0.02634710825320023,0.07508373177713817,99.44735311227458,98.37209302325581
14,0.032663034775867815,0.08262565714108792,99.1564863292612,98.72093023255815
15,0.02339946263856729,0.11115820009985732,99.47643979057591,97.90697674418605
16,0.015505242140096487,0.12058425503049942,99.47643979057591,98.6046511627907
17,0.015987539853759464,0.1312092692522263,99.53461314717859,98.13953488372093
18,0.08779736431541904,0.0792756119777483,97.96393251890635,98.6046511627907
19,0.06414630625685849,0.10610848796312455,98.37114601512508,98.48837209302326
20,0.010248637339693098,0.13615311696291124,99.73821989528795,98.37209302325581
