accuracy,loss,val_accuracy,val_loss
0.22008003294467926,2.749340772628784,0.08284883946180344,2.8430051803588867
0.4961804151535034,1.8110783100128174,0.11627907305955887,2.9191532135009766
0.6496908068656921,1.1675363779067993,0.11627907305955887,3.3318567276000977
0.7144415974617004,0.9041386246681213,0.08284883946180344,3.7104549407958984
0.7482721209526062,0.7499558329582214,0.07848837226629257,3.482316017150879
0.7770098447799683,0.6528798937797546,0.21656976640224457,2.9858384132385254
0.801382303237915,0.5557449460029602,0.42005813121795654,2.427583694458008
0.8403055667877197,0.4768661856651306,0.555232584476471,1.6896374225616455
0.8559476137161255,0.4212532937526703,0.36773255467414856,2.8381881713867188
0.8999636173248291,0.31898224353790283,0.5,2.301154851913452
0.9014186859130859,0.3023700416088104,0.2979651093482971,4.5776591300964355
0.9206984639167786,0.25545424222946167,0.6424418687820435,1.904499888420105
0.9377955794334412,0.20191875100135803,0.5290697813034058,2.2876381874084473
0.9337940812110901,0.21412058174610138,0.32122093439102173,3.416773557662964
0.9465259909629822,0.16208164393901825,0.645348846912384,2.2422876358032227
0.9530738592147827,0.14686428010463715,0.2485465109348297,4.461358547210693
0.9607129693031311,0.13574190437793732,0.5581395626068115,2.4196412563323975
0.9676246047019958,0.11909493058919907,0.6380813717842102,2.0243046283721924
0.9647144675254822,0.10576552152633667,0.582848846912384,2.6392529010772705
0.9639869332313538,0.11349056661128998,0.6264534592628479,2.437832832336426
