accuracy,val_accuracy,loss,val_loss
0.5876018404960632,0.6693829894065857,1.6168338060379028,1.061078667640686
0.644062876701355,0.7136204838752747,1.2105928659439087,0.9781209230422974
0.6798602938652039,0.7497089505195618,1.0581620931625366,0.872259795665741
0.6824796199798584,0.7590221166610718,0.969992458820343,0.8085179328918457
0.6932479739189148,0.7473806738853455,0.9497208595275879,0.7905532121658325
0.6947031617164612,0.7240977883338928,0.9128954410552979,0.8316442966461182
0.7104191184043884,0.7112922072410583,0.8585315346717834,0.8145460486412048
0.6979045271873474,0.7403957843780518,0.8599550127983093,0.8236391544342041
0.7200232744216919,0.7334109544754028,0.8365600109100342,0.8402547836303711
0.7229336500167847,0.743888258934021,0.8368349671363831,0.8101307153701782
0.7272992134094238,0.7485448122024536,0.7815200090408325,0.8059390187263489
0.7255529761314392,0.7508730888366699,0.7822282910346985,0.7699880003929138
0.7328288555145264,0.7508730888366699,0.7737400531768799,0.7681418061256409
0.7424330711364746,0.7543655633926392,0.7646170854568481,0.7633568048477173
0.7249708771705627,0.7520372271537781,0.7634470462799072,0.7646433115005493
0.7316647171974182,0.7578579783439636,0.7662689685821533,0.7505252957344055
0.7377764582633972,0.7462165355682373,0.7416310906410217,0.7673441171646118
0.7380675077438354,0.7566938400268555,0.7484829425811768,0.7634603977203369
0.7369033694267273,0.7590221166610718,0.7390350699424744,0.7458896636962891
0.7322468161582947,0.7392316460609436,0.7380681037902832,0.7672434449195862
0.7080907821655273,0.7275902032852173,0.8425184488296509,0.8391267657279968
0.7337020039558411,0.753201425075531,0.7817565202713013,0.7388569712638855
0.7441792488098145,0.7473806738853455,0.7228302359580994,0.7747195363044739
0.7543655633926392,0.7601862549781799,0.7119132876396179,0.7654241323471069
0.7514551877975464,0.7240977883338928,0.6808341145515442,0.7939567565917969
0.7517462372779846,0.7520372271537781,0.6592261791229248,0.7539502382278442
0.7660070061683655,0.7403957843780518,0.6485400795936584,0.8159841895103455
0.7744470238685608,0.7660070061683655,0.5956419110298157,0.7645546197891235
0.7916181683540344,0.7753201127052307,0.5745137929916382,0.7440652847290039
0.7904540300369263,0.7764843106269836,0.5650641322135925,0.7750185132026672
