accuracy,loss,val_accuracy,val_loss,learning_rate
0.20564281940460205,3.1946866512298584,0.16046512126922607,4.651766300201416,0.0010000000474974513
0.2594531774520874,2.639647960662842,0.4023255705833435,2.5136687755584717,0.0010000000474974513
0.27545085549354553,2.522947311401367,0.5441860556602478,2.104870557785034,0.0010000000474974513
0.2853403091430664,2.4063143730163574,0.41976743936538696,3.679025173187256,0.0010000000474974513
0.2920302450656891,2.357863187789917,0.46162790060043335,5.255706787109375,0.0010000000474974513
0.288539856672287,2.368396759033203,0.4430232644081116,3.583211660385132,0.0010000000474974513
0.3001745343208313,2.2747373580932617,0.34302327036857605,3.86869740486145,0.0010000000474974513
0.29464805126190186,2.2695367336273193,0.5279069542884827,3.0776467323303223,0.0010000000474974513
0.3115183115005493,2.206709861755371,0.5453488230705261,3.352668523788452,0.0005000000237487257
0.3179174065589905,2.1800248622894287,0.5604650974273682,2.4925448894500732,0.0005000000237487257
0.3150087296962738,2.194640636444092,0.645348846912384,1.8841725587844849,0.0005000000237487257
0.3030831813812256,2.191234827041626,0.6162790656089783,1.6248947381973267,0.0005000000237487257
0.3036649227142334,2.1834540367126465,0.6255813837051392,1.6738513708114624,0.0005000000237487257
0.3150087296962738,2.1617207527160645,0.6186046600341797,1.794262409210205,0.0005000000237487257
0.3112274706363678,2.176042079925537,0.4988372027873993,2.002255916595459,0.0005000000237487257
0.3027923107147217,2.1813812255859375,0.6732558012008667,1.189215898513794,0.0005000000237487257
0.3330424726009369,2.127100944519043,0.5604650974273682,1.2985661029815674,0.0005000000237487257
0.3406049907207489,2.0881056785583496,0.6023255586624146,1.4208059310913086,0.0005000000237487257
0.33100640773773193,2.1055619716644287,0.5639534592628479,1.7257773876190186,0.0005000000237487257
0.3147178590297699,2.116957664489746,0.5930232405662537,1.5617759227752686,0.0005000000237487257
