accuracy,loss,val_accuracy,val_loss
0.20116406679153442,2.8237884044647217,0.11627907305955887,3.0167229175567627
0.4838123023509979,1.836226463317871,0.08284883946180344,3.244096517562866
0.65296471118927,1.1604461669921875,0.09447674453258514,3.2941253185272217
0.7038923501968384,0.8799536824226379,0.11627907305955887,3.5324299335479736
0.7464532852172852,0.7382374405860901,0.11627907305955887,3.7190937995910645
0.7831938862800598,0.6310008764266968,0.1889534890651703,3.2341554164886475
0.8184794187545776,0.5199659466743469,0.1627907007932663,3.4723401069641113
0.8490360379219055,0.46304839849472046,0.6075581312179565,1.4566320180892944
0.8643143177032471,0.4120625853538513,0.43023255467414856,2.3890440464019775
0.8912331461906433,0.3254639506340027,0.49127906560897827,2.003039598464966
0.9021462202072144,0.29847171902656555,0.3241279125213623,3.007221221923828
0.9188795685768127,0.24665379524230957,0.40552327036857605,2.978267192840576
0.9428883194923401,0.18350723385810852,0.5116279125213623,2.2091760635375977
0.941069483757019,0.18449187278747559,0.34302327036857605,3.593890905380249
0.9534376263618469,0.16254037618637085,0.5334302186965942,2.1955103874206543
0.9497999548912048,0.15442413091659546,0.5087209343910217,2.3157122135162354
0.9428883194923401,0.16718822717666626,0.5566860437393188,2.176928758621216
0.9585303664207458,0.13588672876358032,0.0625,6.37153434753418
0.9596216678619385,0.13168542087078094,0.6090116500854492,2.2900357246398926
0.966169536113739,0.10445486754179001,0.5508720874786377,2.3723549842834473
